Overall rank,Year,Country,Region,Score,GDP_per_capita,Social_Support,Life_expectancy,Freedom_to_choices,Generosity
44,2015,Uzbekistan,Central and Eastern Europe,6.003,0.632,1.34,0.598,0.658,0.228
45,2016,Slovakia,Central and Eastern Europe,6.078,1.28,1.083,0.704,0.234,0.138
45,2015,Slovakia,Central and Eastern Europe,5.995,1.169,1.27,0.789,0.318,0.169
46,2019,Kosovo,Central and Eastern Europe,6.1,0.882,1.232,0.758,0.489,0.262
46,2017,Poland,Central and Eastern Europe,5.973,1.292,1.446,0.699,0.52,0.158
47,2017,Uzbekistan,Central and Eastern Europe,5.971,0.786,1.549,0.498,0.658,0.416
48,2019,Romania,Central and Eastern Europe,6.07,1.162,1.232,0.825,0.462,0.083
49,2016,Uzbekistan,Central and Eastern Europe,5.987,0.736,1.168,0.502,0.608,0.343
49,2017,Russia,Central and Eastern Europe,5.963,1.282,1.469,0.547,0.374,0.052
50,2018,Lithuania,Central and Eastern Europe,5.952,1.197,1.527,0.716,0.35,0.026
51,2018,Slovenia,Central and Eastern Europe,5.948,1.219,1.506,0.856,0.633,0.16
52,2018,Romania,Central and Eastern Europe,5.945,1.116,1.219,0.726,0.528,0.088
52,2017,Lithuania,Central and Eastern Europe,5.902,1.315,1.474,0.629,0.234,0.01
52,2015,Moldova,Central and Eastern Europe,5.889,0.594,1.015,0.618,0.328,0.21
53,2019,Latvia,Central and Eastern Europe,5.94,1.187,1.465,0.812,0.264,0.075
53,2018,Latvia,Central and Eastern Europe,5.933,1.148,1.454,0.671,0.363,0.092
54,2016,Kazakhstan,Central and Eastern Europe,5.919,1.229,0.955,0.574,0.405,0.15
54,2015,Kazakhstan,Central and Eastern Europe,5.855,1.123,1.122,0.644,0.516,0.118
54,2017,Latvia,Central and Eastern Europe,5.85,1.261,1.405,0.639,0.326,0.153
55,2016,Moldova,Central and Eastern Europe,5.897,0.692,0.831,0.523,0.252,0.2
55,2019,Estonia,Central and Eastern Europe,5.893,1.237,1.528,0.874,0.495,0.103
55,2015,Slovenia,Central and Eastern Europe,5.848,1.185,1.274,0.873,0.609,0.253
56,2016,Russia,Central and Eastern Europe,5.856,1.232,1.053,0.59,0.327,0.027
56,2017,Moldova,Central and Eastern Europe,5.838,0.729,1.252,0.589,0.241,0.209
56,2015,Lithuania,Central and Eastern Europe,5.833,1.147,1.257,0.731,0.213,0.026
57,2016,Poland,Central and Eastern Europe,5.835,1.246,1.047,0.691,0.452,0.144
57,2017,Romania,Central and Eastern Europe,5.825,1.218,1.15,0.685,0.457,0.134
59,2017,Turkmenistan,Central and Eastern Europe,5.822,1.131,1.493,0.438,0.418,0.25
59,2015,Belarus,Central and Eastern Europe,5.813,1.032,1.233,0.736,0.379,0.11
59,2018,Russia,Central and Eastern Europe,5.81,1.151,1.479,0.599,0.399,0.065
60,2017,Kazakhstan,Central and Eastern Europe,5.819,1.285,1.384,0.606,0.437,0.202
60,2016,Lithuania,Central and Eastern Europe,5.813,1.269,1.064,0.647,0.189,0.02
60,2019,Kazakhstan,Central and Eastern Europe,5.809,1.173,1.508,0.729,0.41,0.146
60,2015,Poland,Central and Eastern Europe,5.791,1.126,1.279,0.779,0.531,0.168
60,2018,Kazakhstan,Central and Eastern Europe,5.79,1.143,1.516,0.631,0.454,0.148
61,2016,Belarus,Central and Eastern Europe,5.802,1.131,1.05,0.631,0.291,0.139
62,2015,Croatia,Central and Eastern Europe,5.759,1.083,0.796,0.788,0.259,0.054
62,2019,Hungary,Central and Eastern Europe,5.758,1.201,1.41,0.828,0.199,0.081
62,2017,Slovenia,Central and Eastern Europe,5.758,1.341,1.453,0.791,0.573,0.243
63,2016,Slovenia,Central and Eastern Europe,5.768,1.299,1.056,0.792,0.532,0.257
63,2018,Estonia,Central and Eastern Europe,5.739,1.2,1.532,0.737,0.553,0.086
64,2015,Russia,Central and Eastern Europe,5.716,1.138,1.236,0.669,0.367,0.002
65,2016,Turkmenistan,Central and Eastern Europe,5.658,1.08,1.038,0.44,0.374,0.226
66,2018,Kosovo,Central and Eastern Europe,5.662,0.855,1.23,0.578,0.448,0.274
66,2017,Estonia,Central and Eastern Europe,5.611,1.321,1.477,0.695,0.479,0.099
67,2018,Moldova,Central and Eastern Europe,5.64,0.657,1.301,0.62,0.232,0.171
67,2017,Belarus,Central and Eastern Europe,5.569,1.157,1.445,0.638,0.295,0.155
68,2019,Russia,Central and Eastern Europe,5.648,1.183,1.452,0.726,0.334,0.082
68,2018,Turkmenistan,Central and Eastern Europe,5.636,1.016,1.533,0.517,0.417,0.199
68,2016,Latvia,Central and Eastern Europe,5.56,1.218,0.95,0.64,0.28,0.174
69,2018,Hungary,Central and Eastern Europe,5.62,1.171,1.401,0.732,0.259,0.061
69,2015,Kosovo,Central and Eastern Europe,5.589,0.801,0.812,0.631,0.247,0.283
70,2019,Serbia,Central and Eastern Europe,5.603,1.004,1.383,0.854,0.282,0.137
70,2015,Turkmenistan,Central and Eastern Europe,5.548,0.958,1.227,0.539,0.476,0.17
71,2019,Moldova,Central and Eastern Europe,5.529,0.685,1.328,0.739,0.245,0.181
71,2016,Romania,Central and Eastern Europe,5.528,1.17,0.728,0.676,0.367,0.129
72,2016,Estonia,Central and Eastern Europe,5.517,1.28,1.052,0.681,0.415,0.084
73,2019,Montenegro,Central and Eastern Europe,5.523,1.051,1.361,0.871,0.197,0.142
73,2018,Belarus,Central and Eastern Europe,5.483,1.039,1.498,0.7,0.307,0.101
73,2015,Estonia,Central and Eastern Europe,5.429,1.152,1.228,0.774,0.449,0.087
73,2017,Serbia,Central and Eastern Europe,5.395,1.069,1.258,0.651,0.209,0.22
74,2016,Croatia,Central and Eastern Europe,5.488,1.186,0.608,0.705,0.239,0.184
74,2019,Tajikistan,Central and Eastern Europe,5.467,0.493,1.098,0.718,0.389,0.23
75,2019,Croatia,Central and Eastern Europe,5.432,1.155,1.266,0.914,0.296,0.119
75,2017,Hungary,Central and Eastern Europe,5.324,1.286,1.343,0.688,0.176,0.078
77,2016,Kosovo,Central and Eastern Europe,5.401,0.901,0.661,0.54,0.144,0.28
77,2017,Croatia,Central and Eastern Europe,5.293,1.223,0.968,0.701,0.256,0.248
77,2015,Kyrgyzstan,Central and Eastern Europe,5.286,0.474,1.151,0.651,0.435,0.3
78,2018,Serbia,Central and Eastern Europe,5.398,0.975,1.369,0.685,0.288,0.134
78,2019,Bosnia and Herzegovina,Central and Eastern Europe,5.386,0.945,1.212,0.845,0.212,0.263
78,2017,Kosovo,Central and Eastern Europe,5.279,0.951,1.138,0.541,0.26,0.32
80,2018,Tajikistan,Central and Eastern Europe,5.358,0.474,1.179,0.598,0.503,0.214
80,2015,Azerbaijan,Central and Eastern Europe,5.212,1.024,0.938,0.64,0.37,0.078
81,2018,Montenegro,Central and Eastern Europe,5.347,1.017,1.279,0.729,0.259,0.111
81,2019,Belarus,Central and Eastern Europe,5.323,1.067,1.465,0.789,0.235,0.094
81,2016,Azerbaijan,Central and Eastern Europe,5.291,1.124,0.76,0.545,0.353,0.056
82,2018,Croatia,Central and Eastern Europe,5.321,1.115,1.161,0.737,0.38,0.12
82,2015,Montenegro,Central and Eastern Europe,5.192,0.974,0.906,0.725,0.183,0.161
83,2017,Montenegro,Central and Eastern Europe,5.237,1.121,1.238,0.667,0.195,0.198
85,2017,Azerbaijan,Central and Eastern Europe,5.234,1.154,1.152,0.541,0.398,0.045
85,2016,Kyrgyzstan,Central and Eastern Europe,5.185,0.56,0.954,0.554,0.402,0.384
86,2019,Kyrgyzstan,Central and Eastern Europe,5.261,0.551,1.438,0.723,0.508,0.3
86,2016,Serbia,Central and Eastern Europe,5.177,1.034,0.813,0.646,0.157,0.207
86,2015,Romania,Central and Eastern Europe,5.124,1.043,0.886,0.769,0.351,0.137
87,2019,Turkmenistan,Central and Eastern Europe,5.247,1.052,1.538,0.657,0.394,0.244
87,2018,Azerbaijan,Central and Eastern Europe,5.201,1.024,1.161,0.603,0.43,0.031
87,2016,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.934,0.644,0.708,0.095,0.299
87,2015,Serbia,Central and Eastern Europe,5.123,0.921,1.01,0.748,0.201,0.192
88,2016,Montenegro,Central and Eastern Europe,5.161,1.078,0.742,0.635,0.151,0.172
89,2018,Macedonia,Central and Eastern Europe,5.185,0.959,1.239,0.691,0.394,0.173
89,2015,Latvia,Central and Eastern Europe,5.098,1.113,1.096,0.724,0.297,0.182
90,2019,Azerbaijan,Central and Eastern Europe,5.208,1.043,1.147,0.769,0.351,0.035
90,2017,Bosnia and Herzegovina,Central and Eastern Europe,5.182,0.982,1.069,0.705,0.204,0.329
91,2016,Hungary,Central and Eastern Europe,5.145,1.241,0.932,0.676,0.198,0.099
92,2017,Macedonia,Central and Eastern Europe,5.175,1.065,1.208,0.645,0.326,0.254
92,2018,Kyrgyzstan,Central and Eastern Europe,5.131,0.53,1.416,0.594,0.54,0.281
93,2018,Bosnia and Herzegovina,Central and Eastern Europe,5.129,0.915,1.078,0.758,0.28,0.216
93,2015,Macedonia,Central and Eastern Europe,5.007,0.919,1.002,0.735,0.335,0.224
95,2016,Macedonia,Central and Eastern Europe,5.121,1.019,0.782,0.647,0.277,0.235
95,2015,Albania,Central and Eastern Europe,4.959,0.879,0.804,0.813,0.357,0.143
96,2017,Tajikistan,Central and Eastern Europe,5.041,0.525,1.271,0.529,0.472,0.249
96,2015,Bosnia and Herzegovina,Central and Eastern Europe,4.949,0.832,0.919,0.791,0.092,0.248
97,2019,Bulgaria,Central and Eastern Europe,5.011,1.092,1.513,0.815,0.311,0.081
98,2017,Kyrgyzstan,Central and Eastern Europe,5.004,0.596,1.394,0.553,0.455,0.429
100,2016,Tajikistan,Central and Eastern Europe,4.996,0.488,0.756,0.531,0.434,0.26
100,2018,Bulgaria,Central and Eastern Europe,4.933,1.054,1.515,0.712,0.359,0.064
104,2015,Hungary,Central and Eastern Europe,4.8,1.121,1.202,0.759,0.321,0.128
105,2017,Bulgaria,Central and Eastern Europe,4.714,1.161,1.434,0.708,0.289,0.113
106,2015,Tajikistan,Central and Eastern Europe,4.786,0.39,0.856,0.574,0.472,0.23
107,2019,Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.178
109,2016,Albania,Central and Eastern Europe,4.655,0.955,0.502,0.73,0.319,0.168
109,2017,Albania,Central and Eastern Europe,4.644,0.996,0.804,0.731,0.381,0.201
111,2015,Ukraine,Central and Eastern Europe,4.681,0.799,1.203,0.674,0.251,0.153
112,2018,Albania,Central and Eastern Europe,4.586,0.916,0.817,0.79,0.419,0.149
116,2019,Armenia,Central and Eastern Europe,4.559,0.85,1.055,0.815,0.283,0.095
119,2019,Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043
121,2017,Armenia,Central and Eastern Europe,4.376,0.901,1.007,0.638,0.198,0.083
121,2016,Armenia,Central and Eastern Europe,4.36,0.861,0.625,0.641,0.14,0.078
123,2016,Ukraine,Central and Eastern Europe,4.324,0.873,1.014,0.586,0.129,0.204
125,2017,Georgia,Central and Eastern Europe,4.286,0.951,0.571,0.65,0.309,0.054
126,2016,Georgia,Central and Eastern Europe,4.252,0.838,0.192,0.64,0.325,0.068
127,2015,Armenia,Central and Eastern Europe,4.35,0.768,0.777,0.73,0.198,0.079
128,2018,Georgia,Central and Eastern Europe,4.34,0.853,0.592,0.643,0.375,0.038
129,2018,Armenia,Central and Eastern Europe,4.321,0.816,0.99,0.666,0.26,0.077
129,2016,Bulgaria,Central and Eastern Europe,4.217,1.113,0.925,0.678,0.212,0.128
130,2015,Georgia,Central and Eastern Europe,4.297,0.742,0.386,0.729,0.406,0.055
132,2017,Ukraine,Central and Eastern Europe,4.096,0.895,1.395,0.576,0.123,0.27
133,2019,Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.187
134,2015,Bulgaria,Central and Eastern Europe,4.218,1.012,1.106,0.766,0.306,0.119
138,2018,Ukraine,Central and Eastern Europe,4.103,0.793,1.413,0.609,0.163,0.187
25,2019,Taiwan,Eastern Asia,6.446,1.368,1.43,0.914,0.351,0.242
26,2018,Taiwan,Eastern Asia,6.441,1.365,1.436,0.857,0.418,0.151
34,2016,Taiwan,Eastern Asia,6.379,1.397,0.926,0.796,0.324,0.255
38,2015,Taiwan,Eastern Asia,6.298,1.291,1.076,0.875,0.397,0.254
46,2015,Japan,Eastern Asia,5.987,1.271,1.257,0.991,0.496,0.107
47,2015,South Korea,Eastern Asia,5.984,1.245,0.958,0.965,0.332,0.186
51,2017,Japan,Eastern Asia,5.92,1.417,1.436,0.913,0.506,0.121
53,2016,Japan,Eastern Asia,5.921,1.38,1.061,0.915,0.468,0.102
54,2018,Japan,Eastern Asia,5.915,1.294,1.462,0.988,0.553,0.079
54,2019,South Korea,Eastern Asia,5.895,1.301,1.219,1.036,0.159,0.175
55,2017,South Korea,Eastern Asia,5.838,1.402,1.128,0.9,0.258,0.207
57,2018,South Korea,Eastern Asia,5.875,1.266,1.204,0.955,0.244,0.175
57,2016,South Korea,Eastern Asia,5.835,1.359,0.722,0.886,0.252,0.188
58,2019,Japan,Eastern Asia,5.886,1.327,1.419,1.088,0.445,0.069
72,2015,Hong Kong,Eastern Asia,5.474,1.386,1.058,1.013,0.596,0.395
75,2016,Hong Kong,Eastern Asia,5.458,1.511,0.87,0.953,0.481,0.401
76,2019,Hong Kong,Eastern Asia,5.43,1.438,1.277,1.122,0.44,0.258
76,2018,Hong Kong,Eastern Asia,5.43,1.405,1.29,1.03,0.524,0.246
79,2017,China,Eastern Asia,5.273,1.081,1.161,0.741,0.473,0.029
83,2019,Mongolia,Eastern Asia,5.285,0.948,1.531,0.667,0.317,0.235
83,2016,China,Eastern Asia,5.245,1.028,0.794,0.736,0.44,0.05
84,2015,China,Eastern Asia,5.14,0.89,0.947,0.817,0.517,0.082
86,2018,China,Eastern Asia,5.246,0.989,1.142,0.799,0.597,0.029
93,2019,China,Eastern Asia,5.191,1.029,1.125,0.893,0.521,0.058
94,2018,Mongolia,Eastern Asia,5.125,0.914,1.517,0.575,0.395,0.253
100,2017,Mongolia,Eastern Asia,4.955,1.027,1.493,0.558,0.394,0.338
100,2015,Mongolia,Eastern Asia,4.874,0.828,1.301,0.603,0.436,0.332
101,2016,Mongolia,Eastern Asia,4.907,0.989,1.09,0.555,0.36,0.345
12,2015,Costa Rica,Latin America and Caribbean,7.226,0.956,1.238,0.86,0.634,0.255
12,2019,Costa Rica,Latin America and Caribbean,7.167,1.034,1.441,0.963,0.558,0.144
12,2017,Costa Rica,Latin America and Caribbean,7.079,1.11,1.416,0.76,0.58,0.215
13,2018,Costa Rica,Latin America and Caribbean,7.072,1.01,1.459,0.817,0.632,0.143
14,2015,Mexico,Latin America and Caribbean,7.187,1.021,0.915,0.814,0.482,0.141
14,2016,Costa Rica,Latin America and Caribbean,7.087,1.069,1.022,0.761,0.552,0.226
16,2015,Brazil,Latin America and Caribbean,6.983,0.981,1.233,0.697,0.49,0.146
17,2016,Brazil,Latin America and Caribbean,6.952,1.088,1.039,0.614,0.404,0.158
20,2017,Chile,Latin America and Caribbean,6.652,1.253,1.284,0.819,0.377,0.327
21,2016,Mexico,Latin America and Caribbean,6.778,1.115,0.715,0.711,0.377,0.117
22,2017,Brazil,Latin America and Caribbean,6.635,1.107,1.431,0.617,0.437,0.162
23,2015,Venezuela,Latin America and Caribbean,6.81,1.044,1.256,0.721,0.429,0.058
23,2019,Mexico,Latin America and Caribbean,6.595,1.07,1.323,0.861,0.433,0.074
24,2016,Chile,Latin America and Caribbean,6.705,1.217,0.906,0.819,0.378,0.316
24,2017,Argentina,Latin America and Caribbean,6.599,1.185,1.44,0.695,0.495,0.109
24,2018,Mexico,Latin America and Caribbean,6.488,1.038,1.252,0.761,0.479,0.069
25,2015,Panama,Latin America and Caribbean,6.786,1.064,1.199,0.797,0.542,0.244
25,2016,Panama,Latin America and Caribbean,6.701,1.183,0.989,0.708,0.489,0.242
25,2017,Mexico,Latin America and Caribbean,6.578,1.153,1.211,0.71,0.413,0.121
25,2018,Chile,Latin America and Caribbean,6.476,1.131,1.331,0.808,0.431,0.197
26,2016,Argentina,Latin America and Caribbean,6.65,1.151,1.066,0.697,0.423,0.11
26,2019,Chile,Latin America and Caribbean,6.444,1.159,1.369,0.92,0.357,0.187
27,2015,Chile,Latin America and Caribbean,6.67,1.107,1.124,0.859,0.441,0.334
27,2019,Guatemala,Latin America and Caribbean,6.436,0.8,1.269,0.746,0.535,0.175
27,2018,Panama,Latin America and Caribbean,6.43,1.112,1.438,0.759,0.597,0.125
28,2017,Uruguay,Latin America and Caribbean,6.454,1.218,1.412,0.719,0.579,0.175
28,2018,Brazil,Latin America and Caribbean,6.419,0.986,1.474,0.675,0.493,0.11
29,2016,Uruguay,Latin America and Caribbean,6.545,1.182,1.031,0.722,0.544,0.181
29,2017,Guatemala,Latin America and Caribbean,6.454,0.872,1.256,0.54,0.531,0.283
29,2018,Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.062
30,2015,Argentina,Latin America and Caribbean,6.574,1.054,1.248,0.787,0.45,0.115
30,2017,Panama,Latin America and Caribbean,6.452,1.234,1.373,0.706,0.55,0.211
30,2018,Guatemala,Latin America and Caribbean,6.382,0.781,1.268,0.608,0.604,0.179
31,2016,Colombia,Latin America and Caribbean,6.481,1.03,1.022,0.597,0.447,0.156
31,2018,Uruguay,Latin America and Caribbean,6.379,1.093,1.459,0.771,0.625,0.13
31,2019,Panama,Latin America and Caribbean,6.321,1.149,1.442,0.91,0.516,0.109
32,2015,Uruguay,Latin America and Caribbean,6.485,1.062,1.209,0.812,0.604,0.232
32,2019,Brazil,Latin America and Caribbean,6.3,1.004,1.439,0.802,0.39,0.099
33,2015,Colombia,Latin America and Caribbean,6.477,0.919,1.24,0.691,0.535,0.184
33,2019,Uruguay,Latin America and Caribbean,6.293,1.124,1.465,0.891,0.523,0.127
35,2019,El Salvador,Latin America and Caribbean,6.253,0.794,1.242,0.789,0.43,0.093
36,2017,Colombia,Latin America and Caribbean,6.357,1.071,1.402,0.595,0.477,0.149
37,2018,Colombia,Latin America and Caribbean,6.26,0.96,1.439,0.635,0.531,0.099
38,2018,Trinidad & Tobago,Latin America and Caribbean,6.192,1.223,1.492,0.564,0.575,0.171
38,2017,Trinidad and Tobago,Latin America and Caribbean,6.168,1.361,1.38,0.52,0.519,0.325
39,2016,Guatemala,Latin America and Caribbean,6.324,0.835,0.871,0.54,0.504,0.288
39,2019,Trinidad & Tobago,Latin America and Caribbean,6.192,1.231,1.477,0.713,0.489,0.185
40,2015,Suriname,Latin America and Caribbean,6.269,0.995,0.972,0.608,0.597,0.17
40,2016,Suriname,Latin America and Caribbean,6.269,1.097,0.779,0.509,0.522,0.167
40,2018,El Salvador,Latin America and Caribbean,6.167,0.806,1.231,0.639,0.461,0.065
41,2015,Trinidad and Tobago,Latin America and Caribbean,6.168,1.212,1.184,0.615,0.559,0.318
41,2018,Nicaragua,Latin America and Caribbean,6.141,0.668,1.319,0.7,0.527,0.208
42,2015,El Salvador,Latin America and Caribbean,6.13,0.765,1.025,0.677,0.404,0.107
43,2016,Trinidad and Tobago,Latin America and Caribbean,6.168,1.326,0.986,0.526,0.485,0.319
43,2019,Colombia,Latin America and Caribbean,6.125,0.985,1.41,0.841,0.47,0.099
43,2015,Guatemala,Latin America and Caribbean,6.123,0.746,1.044,0.644,0.577,0.275
43,2017,Nicaragua,Latin America and Caribbean,6.071,0.737,1.287,0.653,0.448,0.302
44,2016,Venezuela,Latin America and Caribbean,6.084,1.134,1.033,0.619,0.198,0.043
44,2017,Ecuador,Latin America and Caribbean,6.008,1.001,1.286,0.686,0.455,0.15
45,2019,Nicaragua,Latin America and Caribbean,6.105,0.694,1.325,0.835,0.435,0.2
45,2017,El Salvador,Latin America and Caribbean,6.003,0.91,1.182,0.596,0.432,0.078
46,2016,El Salvador,Latin America and Caribbean,6.068,0.874,0.81,0.596,0.373,0.089
47,2019,Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.066
48,2016,Nicaragua,Latin America and Caribbean,5.992,0.694,0.895,0.652,0.466,0.298
48,2015,Ecuador,Latin America and Caribbean,5.975,0.864,0.999,0.791,0.486,0.115
48,2018,Ecuador,Latin America and Caribbean,5.973,0.889,1.33,0.736,0.556,0.114
50,2019,Ecuador,Latin America and Caribbean,6.028,0.912,1.312,0.868,0.498,0.126
51,2016,Ecuador,Latin America and Caribbean,5.976,0.973,0.86,0.686,0.403,0.101
51,2015,Bolivia,Latin America and Caribbean,5.89,0.681,0.978,0.539,0.574,0.205
53,2015,Paraguay,Latin America and Caribbean,5.878,0.76,1.305,0.661,0.539,0.342
56,2019,Jamaica,Latin America and Caribbean,5.89,0.831,1.478,0.831,0.49,0.107
56,2018,Jamaica,Latin America and Caribbean,5.89,0.819,1.493,0.693,0.575,0.096
57,2015,Nicaragua,Latin America and Caribbean,5.828,0.593,1.142,0.743,0.555,0.278
58,2015,Peru,Latin America and Caribbean,5.824,0.9,0.975,0.73,0.415,0.15
58,2017,Bolivia,Latin America and Caribbean,5.823,0.834,1.228,0.474,0.559,0.226
59,2019,Honduras,Latin America and Caribbean,5.86,0.642,1.236,0.828,0.507,0.246
59,2016,Bolivia,Latin America and Caribbean,5.822,0.794,0.838,0.47,0.51,0.217
61,2019,Bolivia,Latin America and Caribbean,5.779,0.776,1.209,0.706,0.511,0.137
62,2018,Bolivia,Latin America and Caribbean,5.752,0.751,1.223,0.508,0.606,0.141
63,2019,Paraguay,Latin America and Caribbean,5.743,0.855,1.475,0.777,0.514,0.184
63,2017,Peru,Latin America and Caribbean,5.715,1.035,1.219,0.63,0.45,0.127
64,2016,Peru,Latin America and Caribbean,5.743,0.996,0.813,0.63,0.375,0.145
64,2018,Paraguay,Latin America and Caribbean,5.681,0.835,1.522,0.615,0.541,0.162
65,2015,Jamaica,Latin America and Caribbean,5.709,0.81,1.151,0.687,0.504,0.212
65,2019,Peru,Latin America and Caribbean,5.697,0.96,1.274,0.854,0.455,0.083
65,2018,Peru,Latin America and Caribbean,5.663,0.934,1.249,0.674,0.53,0.092
70,2016,Paraguay,Latin America and Caribbean,5.538,0.894,1.111,0.583,0.462,0.253
70,2017,Paraguay,Latin America and Caribbean,5.493,0.933,1.507,0.579,0.474,0.224
72,2018,Honduras,Latin America and Caribbean,5.504,0.62,1.205,0.622,0.459,0.197
73,2016,Jamaica,Latin America and Caribbean,5.51,0.893,0.964,0.595,0.436,0.222
76,2017,Jamaica,Latin America and Caribbean,5.311,0.926,1.368,0.641,0.474,0.234
77,2019,Dominican Republic,Latin America and Caribbean,5.425,1.015,1.401,0.779,0.497,0.113
82,2017,Venezuela,Latin America and Caribbean,5.25,1.128,1.431,0.617,0.154,0.065
83,2018,Dominican Republic,Latin America and Caribbean,5.302,0.982,1.441,0.614,0.578,0.12
86,2017,Dominican Republic,Latin America and Caribbean,5.23,1.079,1.402,0.575,0.553,0.187
89,2016,Dominican Republic,Latin America and Caribbean,5.155,1.028,0.995,0.577,0.523,0.213
91,2017,Honduras,Latin America and Caribbean,5.181,0.731,1.144,0.583,0.348,0.236
98,2015,Dominican Republic,Latin America and Caribbean,4.885,0.895,1.172,0.668,0.577,0.217
102,2018,Venezuela,Latin America and Caribbean,4.806,0.996,1.469,0.657,0.133,0.056
104,2016,Honduras,Latin America and Caribbean,4.871,0.694,0.756,0.584,0.268,0.204
105,2015,Honduras,Latin America and Caribbean,4.788,0.595,0.953,0.695,0.401,0.23
108,2019,Venezuela,Latin America and Caribbean,4.707,0.96,1.427,0.805,0.154,0.064
119,2015,Haiti,Latin America and Caribbean,4.518,0.267,0.743,0.388,0.244,0.462
136,2016,Haiti,Latin America and Caribbean,4.028,0.341,0.296,0.275,0.121,0.48
145,2017,Haiti,Latin America and Caribbean,3.603,0.369,0.64,0.277,0.03,0.489
147,2019,Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.419
148,2018,Haiti,Latin America and Caribbean,3.582,0.315,0.714,0.289,0.025,0.392
11,2015,Israel,Middle East and Northern Africa,7.278,1.229,1.224,0.914,0.413,0.332
11,2016,Israel,Middle East and Northern Africa,7.267,1.338,0.995,0.849,0.364,0.323
11,2017,Israel,Middle East and Northern Africa,7.213,1.375,1.376,0.838,0.406,0.33
11,2018,Israel,Middle East and Northern Africa,7.19,1.244,1.433,0.888,0.464,0.262
13,2019,Israel,Middle East and Northern Africa,7.139,1.276,1.455,1.029,0.371,0.261
20,2015,United Arab Emirates,Middle East and Northern Africa,6.901,1.427,1.126,0.809,0.642,0.264
20,2018,United Arab Emirates,Middle East and Northern Africa,6.774,2.096,0.776,0.67,0.284,0.186
21,2019,United Arab Emirates,Middle East and Northern Africa,6.825,1.503,1.31,0.825,0.598,0.262
21,2017,United Arab Emirates,Middle East and Northern Africa,6.648,1.626,1.266,0.727,0.608,0.361
22,2015,Oman,Middle East and Northern Africa,6.853,1.36,1.082,0.763,0.633,0.215
28,2015,Qatar,Middle East and Northern Africa,6.611,1.69,1.079,0.797,0.64,0.326
28,2016,United Arab Emirates,Middle East and Northern Africa,6.573,1.574,0.871,0.73,0.562,0.266
